,camera,date,hour,zone,person,car,bicycle,motorcycle,truck,dog
0,1,05-12-2021,23,0,0,0,0,0,0,0
1,1,05-12-2021,23,1,0,0,0,0,0,0
2,1,05-12-2021,23,2,0,29,0,0,0,0
3,1,05-12-2021,22,0,0,0,0,0,0,0
4,1,05-12-2021,22,1,4,0,0,0,0,0
5,1,05-12-2021,22,2,0,46,0,0,0,0
6,1,05-12-2021,21,0,0,27,0,0,0,0
7,1,05-12-2021,21,1,1,0,0,0,0,0
8,1,05-12-2021,21,2,0,68,0,0,0,0
9,1,05-12-2021,20,0,0,72,0,0,0,0
10,1,05-12-2021,20,1,3,0,0,0,0,0
11,1,05-12-2021,20,2,0,63,0,0,0,0
12,1,05-12-2021,19,0,7,36,0,0,0,0
13,1,05-12-2021,19,1,4,0,0,0,0,0
14,1,05-12-2021,19,2,0,109,0,0,1,0
15,1,05-12-2021,18,0,0,0,0,0,0,0
16,1,05-12-2021,18,1,10,0,0,0,0,0
17,1,05-12-2021,18,2,0,93,0,0,2,0
18,1,05-12-2021,17,0,9,0,0,0,0,0
19,1,05-12-2021,17,1,0,0,0,0,0,0
20,1,05-12-2021,17,2,0,46,0,0,0,0
21,1,05-12-2021,16,0,18,0,0,0,0,0
22,1,05-12-2021,16,1,6,0,0,0,0,0
23,1,05-12-2021,16,2,0,6,0,0,0,0
24,1,05-12-2021,15,0,25,0,0,0,0,0
25,1,05-12-2021,15,1,2,0,0,0,0,0
26,1,05-12-2021,15,2,0,4,0,0,0,0
27,1,05-12-2021,14,0,0,0,0,0,0,0
28,1,05-12-2021,14,1,0,0,0,0,0,0
29,1,05-12-2021,14,2,0,1,0,0,0,0
30,1,05-12-2021,13,0,13,0,0,0,0,0
31,1,05-12-2021,13,1,0,0,0,0,0,0
32,1,05-12-2021,13,2,0,0,0,0,0,0
33,1,05-12-2021,12,0,65,0,0,0,0,0
34,1,05-12-2021,12,1,15,0,0,0,0,0
35,1,05-12-2021,12,2,0,6,0,0,0,0
36,1,05-12-2021,11,0,34,0,0,0,0,0
37,1,05-12-2021,11,1,0,0,0,0,0,0
38,1,05-12-2021,11,2,0,19,0,0,1,0
39,1,05-12-2021,10,0,0,0,0,0,0,0
40,1,05-12-2021,10,1,0,0,0,0,0,0
41,1,05-12-2021,10,2,0,16,0,0,1,0
42,1,05-12-2021,9,0,6,0,0,0,0,0
43,1,05-12-2021,9,1,0,0,0,0,0,0
44,1,05-12-2021,9,2,0,15,0,0,0,0
45,1,05-12-2021,8,0,0,0,0,0,0,0
46,1,05-12-2021,8,1,0,0,0,0,0,0
47,1,05-12-2021,8,2,0,3,0,0,0,0
48,1,05-12-2021,7,0,0,0,0,0,0,0
49,1,05-12-2021,7,1,0,0,0,0,0,0
50,1,05-12-2021,7,2,0,2,0,0,0,0
51,1,05-12-2021,6,0,0,0,0,0,0,0
52,1,05-12-2021,6,1,0,0,0,0,0,0
53,1,05-12-2021,6,2,0,5,0,0,0,0
54,1,05-12-2021,5,0,0,0,0,0,0,0
55,1,05-12-2021,5,1,0,0,0,0,0,0
56,1,05-12-2021,5,2,0,1,0,0,0,0
57,1,05-12-2021,4,0,0,0,0,0,0,0
58,1,05-12-2021,4,1,0,1,0,0,0,0
59,1,05-12-2021,4,2,0,9,0,0,0,0
60,1,05-12-2021,3,0,0,0,0,0,0,0
61,1,05-12-2021,3,1,0,0,0,0,0,0
62,1,05-12-2021,3,2,0,4,0,0,0,0
63,1,05-12-2021,2,0,0,0,0,0,0,0
64,1,05-12-2021,2,1,0,0,0,0,0,0
65,1,05-12-2021,2,2,0,21,0,0,0,0
66,1,05-12-2021,1,0,0,0,0,0,0,0
67,1,05-12-2021,1,1,0,0,0,0,0,0
68,1,05-12-2021,1,2,0,25,0,0,0,0
69,1,05-12-2021,0,0,0,0,0,0,0,0
70,1,05-12-2021,0,1,0,0,0,0,0,0
71,1,05-12-2021,0,2,0,48,0,0,0,0
72,1,04-12-2021,23,0,0,0,0,0,0,0
73,1,04-12-2021,23,1,0,0,0,0,0,0
74,1,04-12-2021,23,2,0,48,0,0,0,0
75,1,04-12-2021,22,0,3,0,0,0,0,0
76,1,04-12-2021,22,1,0,0,0,0,0,0
77,1,04-12-2021,22,2,0,50,0,0,0,0
78,1,04-12-2021,21,0,0,0,0,0,0,0
79,1,04-12-2021,21,1,2,0,0,0,0,0
80,1,04-12-2021,21,2,0,42,0,0,0,0
81,1,04-12-2021,20,0,1,0,0,0,0,0
82,1,04-12-2021,20,1,1,0,0,0,0,0
83,1,04-12-2021,20,2,0,98,0,0,0,0
84,1,04-12-2021,19,0,9,2,0,0,0,0
85,1,04-12-2021,19,1,0,0,0,0,0,0
86,1,04-12-2021,19,2,0,105,0,0,0,0
87,1,04-12-2021,18,0,44,0,0,0,0,0
88,1,04-12-2021,18,1,8,0,0,0,0,0
89,1,04-12-2021,18,2,1,163,0,0,5,0
90,1,04-12-2021,17,0,67,0,0,0,0,0
91,1,04-12-2021,17,1,0,0,0,0,0,0
92,1,04-12-2021,17,2,0,94,0,0,10,0
93,1,04-12-2021,16,0,40,0,0,0,0,0
94,1,04-12-2021,16,1,15,0,0,0,0,0
95,1,04-12-2021,16,2,1,66,0,0,3,0
96,1,04-12-2021,15,0,41,0,0,0,0,0
97,1,04-12-2021,15,1,6,0,0,0,0,0
98,1,04-12-2021,15,2,0,95,0,0,9,0
99,1,04-12-2021,14,0,43,0,0,0,0,0
100,1,04-12-2021,14,1,0,0,0,0,0,0
101,1,04-12-2021,14,2,0,51,0,0,2,0
102,1,04-12-2021,13,0,127,0,0,0,0,0
103,1,04-12-2021,13,1,41,0,0,0,0,0
104,1,04-12-2021,13,2,1,26,0,0,3,0
105,1,04-12-2021,12,0,19,0,0,0,0,0
106,1,04-12-2021,12,1,3,0,0,0,0,0
107,1,04-12-2021,12,2,0,30,0,0,5,0
108,1,04-12-2021,11,0,34,0,0,0,0,0
109,1,04-12-2021,11,1,14,0,0,0,0,0
110,1,04-12-2021,11,2,0,29,0,0,1,0
111,1,04-12-2021,10,0,0,0,0,0,0,0
112,1,04-12-2021,10,1,9,0,0,0,0,0
113,1,04-12-2021,10,2,3,40,0,0,0,0
114,1,04-12-2021,9,0,0,0,0,0,0,0
115,1,04-12-2021,9,1,0,0,0,0,0,0
116,1,04-12-2021,9,2,0,4,0,0,0,0
117,1,04-12-2021,8,0,0,0,0,0,0,0
118,1,04-12-2021,8,1,0,0,0,0,0,0
119,1,04-12-2021,8,2,0,6,0,0,0,0
120,1,04-12-2021,7,0,0,0,0,0,0,0
121,1,04-12-2021,7,1,0,0,0,0,0,0
122,1,04-12-2021,7,2,0,5,0,0,0,0
